objectsCount time allocatedMemory usedMemory commandType
1 0.000163344 4096 72 ALLOCATE
2 4.749e-06 4096 144 ALLOCATE
3 2.3183e-05 4096 216 ALLOCATE
4 5.209e-06 4096 288 ALLOCATE
5 2.0438e-05 4096 360 ALLOCATE
6 4.638e-06 4096 432 ALLOCATE
7 1.3515e-05 4096 504 ALLOCATE
8 4.839e-06 4096 576 ALLOCATE
9 2.5888e-05 4096 648 ALLOCATE
10 4.568e-06 4096 720 ALLOCATE
11 1.3485e-05 4096 792 ALLOCATE
12 4.93e-06 4096 864 ALLOCATE
13 2.0969e-05 4096 936 ALLOCATE
14 4.518e-06 4096 1008 ALLOCATE
15 1.3445e-05 4096 1080 ALLOCATE
16 5.31e-06 4096 1152 ALLOCATE
17 3.242e-05 4096 1224 ALLOCATE
18 4.419e-06 4096 1296 ALLOCATE
19 1.4097e-05 4096 1368 ALLOCATE
20 5.801e-06 4096 1440 ALLOCATE
21 3.196e-05 4096 1512 ALLOCATE
22 5.921e-06 4096 1584 ALLOCATE
23 1.4166e-05 4096 1656 ALLOCATE
24 5.03e-06 4096 1728 ALLOCATE
25 2.8152e-05 4096 1800 ALLOCATE
26 4.418e-06 4096 1872 ALLOCATE
27 1.3746e-05 4096 1944 ALLOCATE
28 4.869e-06 4096 2016 ALLOCATE
29 2.153e-05 4096 2088 ALLOCATE
30 4.829e-06 4096 2160 ALLOCATE
31 1.3766e-05 4096 2232 ALLOCATE
32 4.909e-06 4096 2304 ALLOCATE
33 4.3221e-05 8192 2376 ALLOCATE
34 4.899e-06 8192 2448 ALLOCATE
35 1.4166e-05 8192 2520 ALLOCATE
36 5.881e-06 8192 2592 ALLOCATE
37 2.107e-05 8192 2664 ALLOCATE
38 6.091e-06 8192 2736 ALLOCATE
39 1.8905e-05 8192 2808 ALLOCATE
40 6.913e-06 8192 2880 ALLOCATE
41 2.7521e-05 8192 2952 ALLOCATE
42 4.428e-06 8192 3024 ALLOCATE
43 1.4387e-05 8192 3096 ALLOCATE
44 9.538e-06 8192 3168 ALLOCATE
45 3.5707e-05 8192 3240 ALLOCATE
46 5.56e-06 8192 3312 ALLOCATE
47 1.648e-05 8192 3384 ALLOCATE
48 5.32e-06 8192 3456 ALLOCATE
49 3.9875e-05 8192 3528 ALLOCATE
50 5.68e-06 8192 3600 ALLOCATE
51 2.0489e-05 8192 3672 ALLOCATE
52 6.342e-06 8192 3744 ALLOCATE
53 2.6279e-05 8192 3816 ALLOCATE
54 5.701e-06 8192 3888 ALLOCATE
55 1.7703e-05 8192 3960 ALLOCATE
56 8.355e-06 8192 4032 ALLOCATE
57 4.846e-05 8192 4104 ALLOCATE
