objectsCount time allocatedMemory usedMemory commandType
1 8.2864e-05 4096 72 ALLOCATE
2 4.698e-06 4096 144 ALLOCATE
3 2.0519e-05 4096 216 ALLOCATE
4 5.139e-06 4096 288 ALLOCATE
5 2.1189e-05 4096 360 ALLOCATE
6 4.839e-06 4096 432 ALLOCATE
7 1.4276e-05 4096 504 ALLOCATE
8 1.0509e-05 4096 576 ALLOCATE
9 4.0566e-05 4096 648 ALLOCATE
10 6.281e-06 4096 720 ALLOCATE
11 1.3826e-05 4096 792 ALLOCATE
12 8.186e-06 4096 864 ALLOCATE
13 4.1427e-05 4096 936 ALLOCATE
14 9.758e-06 4096 1008 ALLOCATE
15 2.4386e-05 4096 1080 ALLOCATE
16 8.095e-06 4096 1152 ALLOCATE
17 3.4825e-05 4096 1224 ALLOCATE
18 5.66e-06 4096 1296 ALLOCATE
19 2.1139e-05 4096 1368 ALLOCATE
20 8.676e-06 4096 1440 ALLOCATE
21 3.9504e-05 4096 1512 ALLOCATE
22 7.844e-06 4096 1584 ALLOCATE
23 2.9886e-05 4096 1656 ALLOCATE
24 6.161e-06 4096 1728 ALLOCATE
25 3.1148e-05 4096 1800 ALLOCATE
26 5.179e-06 4096 1872 ALLOCATE
27 1.5438e-05 4096 1944 ALLOCATE
28 5.661e-06 4096 2016 ALLOCATE
29 2.4055e-05 4096 2088 ALLOCATE
30 6.943e-06 4096 2160 ALLOCATE
31 3.5456e-05 4096 2232 ALLOCATE
32 6.422e-06 4096 2304 ALLOCATE
33 8.8245e-05 8192 2376 ALLOCATE
34 6.372e-06 8192 2448 ALLOCATE
35 1.7803e-05 8192 2520 ALLOCATE
36 5.58e-06 8192 2592 ALLOCATE
37 3.1739e-05 8192 2664 ALLOCATE
38 5.971e-06 8192 2736 ALLOCATE
39 2.3674e-05 8192 2808 ALLOCATE
40 8.737e-06 8192 2880 ALLOCATE
41 4.2609e-05 8192 2952 ALLOCATE
42 6.482e-06 8192 3024 ALLOCATE
43 1.6541e-05 8192 3096 ALLOCATE
44 6.102e-06 8192 3168 ALLOCATE
45 2.8663e-05 8192 3240 ALLOCATE
46 5.08e-06 8192 3312 ALLOCATE
47 2.4545e-05 8192 3384 ALLOCATE
48 6.532e-06 8192 3456 ALLOCATE
49 4.4373e-05 8192 3528 ALLOCATE
50 5.731e-06 8192 3600 ALLOCATE
51 1.5209e-05 8192 3672 ALLOCATE
52 9.718e-06 8192 3744 ALLOCATE
53 3.3723e-05 8192 3816 ALLOCATE
54 6.061e-06 8192 3888 ALLOCATE
55 2.0609e-05 8192 3960 ALLOCATE
56 7.714e-06 8192 4032 ALLOCATE
