objectsCount time allocatedMemory usedMemory commandType
1 2.8463e-05 4096 72 ALLOCATE
2 4.378e-06 4096 144 ALLOCATE
3 3.557e-06 4096 216 ALLOCATE
4 6.142e-06 4096 288 ALLOCATE
5 8.486e-06 4096 360 ALLOCATE
6 3.186e-06 4096 432 ALLOCATE
7 3.476e-06 4096 504 ALLOCATE
8 4.949e-06 4096 576 ALLOCATE
9 3.376e-06 4096 648 ALLOCATE
10 3.326e-06 4096 720 ALLOCATE
11 3.596e-06 4096 792 ALLOCATE
12 3.627e-06 4096 864 ALLOCATE
13 3.657e-06 4096 936 ALLOCATE
14 3.707e-06 4096 1008 ALLOCATE
15 3.526e-06 4096 1080 ALLOCATE
16 1.3355e-05 4096 1152 ALLOCATE
17 4.508e-06 4096 1224 ALLOCATE
18 4.518e-06 4096 1296 ALLOCATE
19 4.869e-06 4096 1368 ALLOCATE
20 4.909e-06 4096 1440 ALLOCATE
21 4.679e-06 4096 1512 ALLOCATE
22 5.089e-06 4096 1584 ALLOCATE
23 4.989e-06 4096 1656 ALLOCATE
24 0.000264813 4096 1728 ALLOCATE
25 6.842e-06 4096 1800 ALLOCATE
26 7.063e-06 4096 1872 ALLOCATE
27 7.254e-06 4096 1944 ALLOCATE
28 1.62e-05 4096 2016 ALLOCATE
29 5.35e-06 4096 2088 ALLOCATE
30 6.091e-06 4096 2160 ALLOCATE
31 4.929e-06 4096 2232 ALLOCATE
32 2.166e-05 4096 2304 ALLOCATE
33 1.1873e-05 4096 2376 ALLOCATE
34 5.651e-06 4096 2448 ALLOCATE
35 1.0319e-05 4096 2520 ALLOCATE
36 9.658e-06 4096 2592 ALLOCATE
37 7.243e-06 4096 2664 ALLOCATE
38 6.422e-06 4096 2736 ALLOCATE
39 1.1091e-05 4096 2808 ALLOCATE
40 1.0119e-05 4096 2880 ALLOCATE
41 7.324e-06 4096 2952 ALLOCATE
42 1.092e-05 4096 3024 ALLOCATE
43 8.576e-06 4096 3096 ALLOCATE
44 8.035e-06 4096 3168 ALLOCATE
45 7.594e-06 4096 3240 ALLOCATE
46 6.882e-06 4096 3312 ALLOCATE
47 7.084e-06 4096 3384 ALLOCATE
48 7.454e-06 4096 3456 ALLOCATE
49 7.424e-06 4096 3528 ALLOCATE
50 7.183e-06 4096 3600 ALLOCATE
51 7.624e-06 4096 3672 ALLOCATE
52 8.686e-06 4096 3744 ALLOCATE
53 1.4357e-05 4096 3816 ALLOCATE
54 8.666e-06 4096 3888 ALLOCATE
55 1.1311e-05 4096 3960 ALLOCATE
56 1.2022e-05 4096 4032 ALLOCATE
57 2.4215e-05 8192 4104 ALLOCATE
58 7.864e-06 8192 4176 ALLOCATE
59 7.624e-06 8192 4248 ALLOCATE
60 8.136e-06 8192 4320 ALLOCATE
61 8.005e-06 8192 4392 ALLOCATE
62 7.714e-06 8192 4464 ALLOCATE
63 2.8193e-05 8192 4536 ALLOCATE
64 9.407e-06 8192 4608 ALLOCATE
65 8.826e-06 8192 4680 ALLOCATE
66 7.774e-06 8192 4752 ALLOCATE
67 1.2163e-05 8192 4824 ALLOCATE
68 8.466e-06 8192 4896 ALLOCATE
69 8.746e-06 8192 4968 ALLOCATE
70 1.5088e-05 8192 5040 ALLOCATE
71 1.2193e-05 8192 5112 ALLOCATE
72 1.0389e-05 8192 5184 ALLOCATE
73 1.2534e-05 8192 5256 ALLOCATE
74 1.046e-05 8192 5328 ALLOCATE
75 9.949e-06 8192 5400 ALLOCATE
76 1.2583e-05 8192 5472 ALLOCATE
77 9.999e-06 8192 5544 ALLOCATE
78 1.066e-05 8192 5616 ALLOCATE
79 1.2514e-05 8192 5688 ALLOCATE
80 1.4598e-05 8192 5760 ALLOCATE
81 1.1121e-05 8192 5832 ALLOCATE
82 1.0369e-05 8192 5904 ALLOCATE
83 1.104e-05 8192 5976 ALLOCATE
84 1.0339e-05 8192 6048 ALLOCATE
85 1.048e-05 8192 6120 ALLOCATE
86 1.059e-05 8192 6192 ALLOCATE
87 1.061e-05 8192 6264 ALLOCATE
88 1.2253e-05 8192 6336 ALLOCATE
89 1.1611e-05 8192 6408 ALLOCATE
90 1.1611e-05 8192 6480 ALLOCATE
91 1.8094e-05 8192 6552 ALLOCATE
92 1.1772e-05 8192 6624 ALLOCATE
93 1.1561e-05 8192 6696 ALLOCATE
94 1.3505e-05 8192 6768 ALLOCATE
95 1.074e-05 8192 6840 ALLOCATE
96 1.3405e-05 8192 6912 ALLOCATE
97 1.2514e-05 8192 6984 ALLOCATE
98 1.1311e-05 8192 7056 ALLOCATE
99 1.067e-05 8192 7128 ALLOCATE
100 1.072e-05 8192 7200 ALLOCATE
99 1.092e-05 8192 7128 DEALLOCATE
98 1.1131e-05 8192 7056 DEALLOCATE
99 1.2283e-05 8192 7128 ALLOCATE
98 1.1542e-05 8192 7056 DEALLOCATE
97 9.718e-06 8192 6984 DEALLOCATE
98 3.306e-06 8192 7056 ALLOCATE
97 1.1351e-05 8192 6984 DEALLOCATE
98 1.1932e-05 8192 7056 ALLOCATE
97 1.1391e-05 8192 6984 DEALLOCATE
96 1.3916e-05 8192 6912 DEALLOCATE
95 1.0138e-05 8192 6840 DEALLOCATE
94 1.091e-05 8192 6768 DEALLOCATE
93 1.0339e-05 8192 6696 DEALLOCATE
92 1.1482e-05 8192 6624 DEALLOCATE
91 1.0489e-05 8192 6552 DEALLOCATE
90 1.1261e-05 8192 6480 DEALLOCATE
91 1.1351e-05 8192 6552 ALLOCATE
92 1.112e-05 8192 6624 ALLOCATE
91 1.084e-05 8192 6552 DEALLOCATE
92 1.4437e-05 8192 6624 ALLOCATE
91 1.1462e-05 8192 6552 DEALLOCATE
90 1.0931e-05 8192 6480 DEALLOCATE
89 1.0881e-05 8192 6408 DEALLOCATE
88 1.5729e-05 8192 6336 DEALLOCATE
89 1.7232e-05 8192 6408 ALLOCATE
90 3.838e-06 8192 6480 ALLOCATE
89 9.999e-06 8192 6408 DEALLOCATE
90 1.1551e-05 8192 6480 ALLOCATE
91 3.326e-06 8192 6552 ALLOCATE
90 1.593e-05 8192 6480 DEALLOCATE
91 1.1652e-05 8192 6552 ALLOCATE
92 1.1662e-05 8192 6624 ALLOCATE
93 1.5048e-05 8192 6696 ALLOCATE
94 1.3174e-05 8192 6768 ALLOCATE
95 1.3375e-05 8192 6840 ALLOCATE
96 1.2193e-05 8192 6912 ALLOCATE
95 1.2654e-05 8192 6840 DEALLOCATE
96 1.3695e-05 8192 6912 ALLOCATE
97 3.727e-06 8192 6984 ALLOCATE
96 1.2954e-05 8192 6912 DEALLOCATE
95 1.4116e-05 8192 6840 DEALLOCATE
96 3.466e-06 8192 6912 ALLOCATE
95 1.1972e-05 8192 6840 DEALLOCATE
96 3.447e-06 8192 6912 ALLOCATE
97 3.226e-06 8192 6984 ALLOCATE
98 4.018e-06 8192 7056 ALLOCATE
97 1.1712e-05 8192 6984 DEALLOCATE
98 2.936e-06 8192 7056 ALLOCATE
