objectsCount time allocatedMemory usedMemory commandType
1 7.6993e-05 4096 72 ALLOCATE
2 6.582e-06 4096 144 ALLOCATE
3 1.6089e-05 4096 216 ALLOCATE
4 4.949e-06 4096 288 ALLOCATE
5 2.0347e-05 4096 360 ALLOCATE
6 1.2823e-05 4096 432 ALLOCATE
7 1.8985e-05 4096 504 ALLOCATE
8 6.492e-06 4096 576 ALLOCATE
9 3.785e-05 4096 648 ALLOCATE
10 6.091e-06 4096 720 ALLOCATE
11 1.4136e-05 4096 792 ALLOCATE
12 5.691e-06 4096 864 ALLOCATE
13 2.173e-05 4096 936 ALLOCATE
14 4.809e-06 4096 1008 ALLOCATE
15 1.3636e-05 4096 1080 ALLOCATE
16 5.029e-06 4096 1152 ALLOCATE
17 4.1327e-05 4096 1224 ALLOCATE
18 6.221e-06 4096 1296 ALLOCATE
19 1.3596e-05 4096 1368 ALLOCATE
20 5.33e-06 4096 1440 ALLOCATE
21 1.9948e-05 4096 1512 ALLOCATE
22 4.638e-06 4096 1584 ALLOCATE
23 1.3535e-05 4096 1656 ALLOCATE
24 5.51e-06 4096 1728 ALLOCATE
25 3.0817e-05 4096 1800 ALLOCATE
26 4.498e-06 4096 1872 ALLOCATE
27 2.692e-05 4096 1944 ALLOCATE
28 6.171e-06 4096 2016 ALLOCATE
29 2.2542e-05 4096 2088 ALLOCATE
30 5.861e-06 4096 2160 ALLOCATE
31 1.4016e-05 4096 2232 ALLOCATE
32 5.871e-06 4096 2304 ALLOCATE
33 4.846e-05 8192 2376 ALLOCATE
34 4.969e-06 8192 2448 ALLOCATE
35 1.3916e-05 8192 2520 ALLOCATE
36 9.709e-06 8192 2592 ALLOCATE
37 2.2122e-05 8192 2664 ALLOCATE
38 4.869e-06 8192 2736 ALLOCATE
39 1.4287e-05 8192 2808 ALLOCATE
40 6.392e-06 8192 2880 ALLOCATE
41 2.699e-05 8192 2952 ALLOCATE
42 4.478e-06 8192 3024 ALLOCATE
43 1.4277e-05 8192 3096 ALLOCATE
44 9.428e-06 8192 3168 ALLOCATE
45 2.5067e-05 8192 3240 ALLOCATE
46 4.869e-06 8192 3312 ALLOCATE
47 1.5348e-05 8192 3384 ALLOCATE
48 5.701e-06 8192 3456 ALLOCATE
49 3.4885e-05 8192 3528 ALLOCATE
50 5.18e-06 8192 3600 ALLOCATE
51 1.4146e-05 8192 3672 ALLOCATE
52 5.2e-06 8192 3744 ALLOCATE
53 3.73e-05 8192 3816 ALLOCATE
54 5.31e-06 8192 3888 ALLOCATE
55 2.9144e-05 8192 3960 ALLOCATE
56 6.773e-06 8192 4032 ALLOCATE
57 3.6238e-05 8192 4104 ALLOCATE
58 6.011e-06 8192 4176 ALLOCATE
59 1.9326e-05 8192 4248 ALLOCATE
60 6.482e-06 8192 4320 ALLOCATE
61 2.7281e-05 8192 4392 ALLOCATE
62 4.839e-06 8192 4464 ALLOCATE
63 1.5018e-05 8192 4536 ALLOCATE
64 5.821e-06 8192 4608 ALLOCATE
65 4.7699e-05 12288 4680 ALLOCATE
66 4.559e-06 12288 4752 ALLOCATE
67 1.6942e-05 12288 4824 ALLOCATE
68 4.879e-06 12288 4896 ALLOCATE
69 2.4645e-05 12288 4968 ALLOCATE
70 4.95e-06 12288 5040 ALLOCATE
71 1.4527e-05 12288 5112 ALLOCATE
72 5.44e-06 12288 5184 ALLOCATE
73 2.7651e-05 12288 5256 ALLOCATE
74 4.409e-06 12288 5328 ALLOCATE
75 1.4457e-05 12288 5400 ALLOCATE
76 4.399e-06 12288 5472 ALLOCATE
77 2.5427e-05 12288 5544 ALLOCATE
78 4.478e-06 12288 5616 ALLOCATE
79 1.4416e-05 12288 5688 ALLOCATE
80 4.408e-06 12288 5760 ALLOCATE
81 4.7919e-05 12288 5832 ALLOCATE
82 4.98e-06 12288 5904 ALLOCATE
83 1.5919e-05 12288 5976 ALLOCATE
84 4.879e-06 12288 6048 ALLOCATE
85 2.2021e-05 12288 6120 ALLOCATE
86 4.939e-06 12288 6192 ALLOCATE
87 2.2231e-05 12288 6264 ALLOCATE
88 4.498e-06 12288 6336 ALLOCATE
89 2.8623e-05 12288 6408 ALLOCATE
90 5.28e-06 12288 6480 ALLOCATE
91 1.8154e-05 12288 6552 ALLOCATE
92 4.479e-06 12288 6624 ALLOCATE
93 2.2161e-05 12288 6696 ALLOCATE
94 5.721e-06 12288 6768 ALLOCATE
95 1.5248e-05 12288 6840 ALLOCATE
96 4.368e-06 12288 6912 ALLOCATE
97 5.0163e-05 16384 6984 ALLOCATE
98 4.538e-06 16384 7056 ALLOCATE
99 1.8825e-05 16384 7128 ALLOCATE
100 1.2654e-05 16384 7200 ALLOCATE
101 2.8583e-05 16384 7272 ALLOCATE
102 6.442e-06 16384 7344 ALLOCATE
103 1.7332e-05 16384 7416 ALLOCATE
104 5.45e-06 16384 7488 ALLOCATE
105 3.2691e-05 16384 7560 ALLOCATE
106 4.919e-06 16384 7632 ALLOCATE
107 1.6029e-05 16384 7704 ALLOCATE
108 5.591e-06 16384 7776 ALLOCATE
109 2.3053e-05 16384 7848 ALLOCATE
110 5.981e-06 16384 7920 ALLOCATE
111 2.9114e-05 16384 7992 ALLOCATE
112 6.662e-06 16384 8064 ALLOCATE
113 3.8712e-05 16384 8136 ALLOCATE
114 5.009e-06 16384 8208 ALLOCATE
115 1.6721e-05 16384 8280 ALLOCATE
116 4.478e-06 16384 8352 ALLOCATE
117 4.8801e-05 16384 8424 ALLOCATE
118 5.43e-06 16384 8496 ALLOCATE
119 1.8825e-05 16384 8568 ALLOCATE
120 6.582e-06 16384 8640 ALLOCATE
121 2.9945e-05 16384 8712 ALLOCATE
122 4.378e-06 16384 8784 ALLOCATE
123 1.5568e-05 16384 8856 ALLOCATE
124 4.608e-06 16384 8928 ALLOCATE
125 2.3303e-05 16384 9000 ALLOCATE
126 5.32e-06 16384 9072 ALLOCATE
127 2.4696e-05 16384 9144 ALLOCATE
128 4.488e-06 16384 9216 ALLOCATE
129 4.9542e-05 20480 9288 ALLOCATE
130 6.913e-06 20480 9360 ALLOCATE
131 1.8364e-05 20480 9432 ALLOCATE
132 5.25e-06 20480 9504 ALLOCATE
133 3.4504e-05 20480 9576 ALLOCATE
134 5.39e-06 20480 9648 ALLOCATE
135 1.7022e-05 20480 9720 ALLOCATE
136 5.099e-06 20480 9792 ALLOCATE
137 3.4454e-05 20480 9864 ALLOCATE
138 4.569e-06 20480 9936 ALLOCATE
139 1.6581e-05 20480 10008 ALLOCATE
140 6.161e-06 20480 10080 ALLOCATE
141 2.3223e-05 20480 10152 ALLOCATE
142 4.759e-06 20480 10224 ALLOCATE
143 1.594e-05 20480 10296 ALLOCATE
144 5.44e-06 20480 10368 ALLOCATE
145 5.4181e-05 20480 10440 ALLOCATE
146 5.741e-06 20480 10512 ALLOCATE
147 2.4175e-05 20480 10584 ALLOCATE
148 4.819e-06 20480 10656 ALLOCATE
149 2.4075e-05 20480 10728 ALLOCATE
150 5.43e-06 20480 10800 ALLOCATE
151 1.6871e-05 20480 10872 ALLOCATE
152 5.12e-06 20480 10944 ALLOCATE
153 3.0156e-05 20480 11016 ALLOCATE
154 5.329e-06 20480 11088 ALLOCATE
155 1.596e-05 20480 11160 ALLOCATE
156 6.802e-06 20480 11232 ALLOCATE
157 3.5265e-05 20480 11304 ALLOCATE
158 5.66e-06 20480 11376 ALLOCATE
159 2.3374e-05 20480 11448 ALLOCATE
160 6.472e-06 20480 11520 ALLOCATE
161 5.0694e-05 24576 11592 ALLOCATE
162 6.392e-06 24576 11664 ALLOCATE
