objectsCount time allocatedMemory usedMemory commandType
1 2.0358e-05 4096 72 ALLOCATE
2 1.4517e-05 4096 144 ALLOCATE
3 4.598e-06 4096 216 ALLOCATE
4 4.248e-06 4096 288 ALLOCATE
5 3.297e-06 4096 360 ALLOCATE
6 2.915e-06 4096 432 ALLOCATE
7 3.066e-06 4096 504 ALLOCATE
8 4.198e-06 4096 576 ALLOCATE
9 7.995e-06 4096 648 ALLOCATE
10 3.667e-06 4096 720 ALLOCATE
11 3.216e-06 4096 792 ALLOCATE
12 3.847e-06 4096 864 ALLOCATE
13 4.288e-06 4096 936 ALLOCATE
14 3.437e-06 4096 1008 ALLOCATE
15 4.008e-06 4096 1080 ALLOCATE
16 1.3385e-05 4096 1152 ALLOCATE
17 4.879e-06 4096 1224 ALLOCATE
18 5.049e-06 4096 1296 ALLOCATE
19 6.152e-06 4096 1368 ALLOCATE
20 5.149e-06 4096 1440 ALLOCATE
21 4.619e-06 4096 1512 ALLOCATE
22 4.759e-06 4096 1584 ALLOCATE
23 5.019e-06 4096 1656 ALLOCATE
24 8.616e-06 4096 1728 ALLOCATE
25 6.071e-06 4096 1800 ALLOCATE
26 5.981e-06 4096 1872 ALLOCATE
27 5.931e-06 4096 1944 ALLOCATE
28 5.811e-06 4096 2016 ALLOCATE
29 5.219e-06 4096 2088 ALLOCATE
30 5.49e-06 4096 2160 ALLOCATE
31 5.54e-06 4096 2232 ALLOCATE
32 1.5829e-05 4096 2304 ALLOCATE
33 5.962e-06 4096 2376 ALLOCATE
34 5.731e-06 4096 2448 ALLOCATE
35 6.111e-06 4096 2520 ALLOCATE
36 6.752e-06 4096 2592 ALLOCATE
37 6.532e-06 4096 2664 ALLOCATE
38 8.025e-06 4096 2736 ALLOCATE
39 7.454e-06 4096 2808 ALLOCATE
40 7.985e-06 4096 2880 ALLOCATE
41 6.262e-06 4096 2952 ALLOCATE
42 8.295e-06 4096 3024 ALLOCATE
43 6.542e-06 4096 3096 ALLOCATE
44 9.237e-06 4096 3168 ALLOCATE
45 6.993e-06 4096 3240 ALLOCATE
46 7.214e-06 4096 3312 ALLOCATE
47 9.177e-06 4096 3384 ALLOCATE
48 7.133e-06 4096 3456 ALLOCATE
49 7.684e-06 4096 3528 ALLOCATE
50 9.017e-06 4096 3600 ALLOCATE
51 7.624e-06 4096 3672 ALLOCATE
52 7.213e-06 4096 3744 ALLOCATE
53 8.566e-06 4096 3816 ALLOCATE
54 7.133e-06 4096 3888 ALLOCATE
55 1.0119e-05 4096 3960 ALLOCATE
56 9.007e-06 4096 4032 ALLOCATE
57 2.3684e-05 8192 4104 ALLOCATE
58 1.061e-05 8192 4176 ALLOCATE
59 1.0549e-05 8192 4248 ALLOCATE
60 7.403e-06 8192 4320 ALLOCATE
61 7.574e-06 8192 4392 ALLOCATE
62 9.177e-06 8192 4464 ALLOCATE
63 1.5419e-05 8192 4536 ALLOCATE
64 1.0169e-05 8192 4608 ALLOCATE
65 7.484e-06 8192 4680 ALLOCATE
66 8.145e-06 8192 4752 ALLOCATE
67 7.484e-06 8192 4824 ALLOCATE
68 7.644e-06 8192 4896 ALLOCATE
69 8.366e-06 8192 4968 ALLOCATE
70 1.0039e-05 8192 5040 ALLOCATE
71 9.648e-06 8192 5112 ALLOCATE
72 9.307e-06 8192 5184 ALLOCATE
73 9.899e-06 8192 5256 ALLOCATE
74 1.0189e-05 8192 5328 ALLOCATE
75 9.478e-06 8192 5400 ALLOCATE
76 1.2062e-05 8192 5472 ALLOCATE
77 1.2143e-05 8192 5544 ALLOCATE
78 1.1832e-05 8192 5616 ALLOCATE
79 5.7887e-05 8192 5688 ALLOCATE
80 1.042e-05 8192 5760 ALLOCATE
81 1.0259e-05 8192 5832 ALLOCATE
82 1.2873e-05 8192 5904 ALLOCATE
83 1.1631e-05 8192 5976 ALLOCATE
84 1.2453e-05 8192 6048 ALLOCATE
85 1.3234e-05 8192 6120 ALLOCATE
86 1.1131e-05 8192 6192 ALLOCATE
87 1.1802e-05 8192 6264 ALLOCATE
88 1.081e-05 8192 6336 ALLOCATE
89 9.838e-06 8192 6408 ALLOCATE
90 1.2122e-05 8192 6480 ALLOCATE
91 1.117e-05 8192 6552 ALLOCATE
92 1.099e-05 8192 6624 ALLOCATE
93 1.079e-05 8192 6696 ALLOCATE
94 1.3214e-05 8192 6768 ALLOCATE
95 1.4327e-05 8192 6840 ALLOCATE
96 1.622e-05 8192 6912 ALLOCATE
97 1.4597e-05 8192 6984 ALLOCATE
98 1.2513e-05 8192 7056 ALLOCATE
99 1.1461e-05 8192 7128 ALLOCATE
100 1.2503e-05 8192 7200 ALLOCATE
101 1.1321e-05 8192 7272 ALLOCATE
102 1.1752e-05 8192 7344 ALLOCATE
103 1.2834e-05 8192 7416 ALLOCATE
104 1.107e-05 8192 7488 ALLOCATE
105 1.5068e-05 8192 7560 ALLOCATE
106 1.4066e-05 8192 7632 ALLOCATE
107 1.5129e-05 8192 7704 ALLOCATE
108 1.1391e-05 8192 7776 ALLOCATE
109 1.1071e-05 8192 7848 ALLOCATE
110 1.2904e-05 8192 7920 ALLOCATE
111 1.2053e-05 8192 7992 ALLOCATE
112 1.2693e-05 8192 8064 ALLOCATE
113 2.8724e-05 12288 8136 ALLOCATE
114 1.2593e-05 12288 8208 ALLOCATE
115 1.8434e-05 12288 8280 ALLOCATE
116 1.5048e-05 12288 8352 ALLOCATE
117 1.5699e-05 12288 8424 ALLOCATE
118 1.1992e-05 12288 8496 ALLOCATE
