objectsCount time allocatedMemory usedMemory commandType
0 0 0 0 DEALLOCATE
0 0 0 0 DEALLOCATE
1 1.5248e-05 4096 72 ALLOCATE
0 1.513e-06 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 1.0159e-05 4096 72 ALLOCATE
0 1.543e-06 4096 0 DEALLOCATE
1 3.086e-06 4096 72 ALLOCATE
0 2.765e-06 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 8.325e-06 4096 72 ALLOCATE
2 5.791e-06 4096 144 ALLOCATE
1 3.887e-06 4096 72 DEALLOCATE
2 4.308e-06 4096 144 ALLOCATE
1 1.763e-06 4096 72 DEALLOCATE
0 1.903e-06 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 3.536e-06 4096 72 ALLOCATE
2 3.246e-06 4096 144 ALLOCATE
1 2.053e-06 4096 72 DEALLOCATE
2 4.117e-06 4096 144 ALLOCATE
3 3.997e-06 4096 216 ALLOCATE
2 4.359e-06 4096 144 DEALLOCATE
3 6.372e-06 4096 216 ALLOCATE
4 5.32e-06 4096 288 ALLOCATE
5 3.426e-06 4096 360 ALLOCATE
6 3.055e-06 4096 432 ALLOCATE
7 3.416e-06 4096 504 ALLOCATE
8 1.3225e-05 4096 576 ALLOCATE
7 1.623e-06 4096 504 DEALLOCATE
8 2.895e-06 4096 576 ALLOCATE
9 4.348e-06 4096 648 ALLOCATE
8 1.823e-06 4096 576 DEALLOCATE
7 2.846e-06 4096 504 DEALLOCATE
8 4.328e-06 4096 576 ALLOCATE
7 1.944e-06 4096 504 DEALLOCATE
8 3.867e-06 4096 576 ALLOCATE
9 4.288e-06 4096 648 ALLOCATE
10 3.947e-06 4096 720 ALLOCATE
9 2.955e-06 4096 648 DEALLOCATE
10 3.567e-06 4096 720 ALLOCATE
11 4.508e-06 4096 792 ALLOCATE
12 4.9592e-05 4096 864 ALLOCATE
13 8.486e-06 4096 936 ALLOCATE
14 4.949e-06 4096 1008 ALLOCATE
13 2.334e-06 4096 936 DEALLOCATE
12 2.885e-06 4096 864 DEALLOCATE
13 3.707e-06 4096 936 ALLOCATE
14 3.196e-06 4096 1008 ALLOCATE
13 2.966e-06 4096 936 DEALLOCATE
14 3.707e-06 4096 1008 ALLOCATE
15 3.647e-06 4096 1080 ALLOCATE
16 9.878e-06 4096 1152 ALLOCATE
15 3.096e-06 4096 1080 DEALLOCATE
16 4.157e-06 4096 1152 ALLOCATE
17 5.871e-06 4096 1224 ALLOCATE
16 3.447e-06 4096 1152 DEALLOCATE
15 3.536e-06 4096 1080 DEALLOCATE
14 1.552e-06 4096 1008 DEALLOCATE
13 2.836e-06 4096 936 DEALLOCATE
12 3.066e-06 4096 864 DEALLOCATE
11 1.984e-06 4096 792 DEALLOCATE
10 4.348e-06 4096 720 DEALLOCATE
9 2.174e-06 4096 648 DEALLOCATE
8 2.124e-06 4096 576 DEALLOCATE
7 2.013e-06 4096 504 DEALLOCATE
6 1.803e-06 4096 432 DEALLOCATE
5 2.074e-06 4096 360 DEALLOCATE
4 2.474e-06 4096 288 DEALLOCATE
5 5.661e-06 4096 360 ALLOCATE
6 3.156e-06 4096 432 ALLOCATE
7 5.491e-06 4096 504 ALLOCATE
6 1.493e-06 4096 432 DEALLOCATE
7 2.895e-06 4096 504 ALLOCATE
6 1.973e-06 4096 432 DEALLOCATE
7 3.326e-06 4096 504 ALLOCATE
8 4.238e-06 4096 576 ALLOCATE
7 1.503e-06 4096 504 DEALLOCATE
8 2.254e-06 4096 576 ALLOCATE
7 3.336e-06 4096 504 DEALLOCATE
6 1.633e-06 4096 432 DEALLOCATE
5 2.454e-06 4096 360 DEALLOCATE
6 3.968e-06 4096 432 ALLOCATE
7 6.161e-06 4096 504 ALLOCATE
8 4.348e-06 4096 576 ALLOCATE
7 2.224e-06 4096 504 DEALLOCATE
8 3.326e-06 4096 576 ALLOCATE
7 2.725e-06 4096 504 DEALLOCATE
6 1.644e-06 4096 432 DEALLOCATE
7 2.996e-06 4096 504 ALLOCATE
6 1.743e-06 4096 432 DEALLOCATE
5 2.595e-06 4096 360 DEALLOCATE
6 3.567e-06 4096 432 ALLOCATE
5 1.743e-06 4096 360 DEALLOCATE
4 3.015e-06 4096 288 DEALLOCATE
5 6.051e-06 4096 360 ALLOCATE
6 3.597e-06 4096 432 ALLOCATE
5 4.328e-06 4096 360 DEALLOCATE
6 6.201e-06 4096 432 ALLOCATE
7 8.495e-06 4096 504 ALLOCATE
6 1.543e-06 4096 432 DEALLOCATE
5 2.425e-06 4096 360 DEALLOCATE
4 2.605e-06 4096 288 DEALLOCATE
5 3.477e-06 4096 360 ALLOCATE
4 1.783e-06 4096 288 DEALLOCATE
5 4.829e-06 4096 360 ALLOCATE
4 2.084e-06 4096 288 DEALLOCATE
5 3.046e-06 4096 360 ALLOCATE
6 3.175e-06 4096 432 ALLOCATE
5 1.312e-06 4096 360 DEALLOCATE
6 2.565e-06 4096 432 ALLOCATE
7 3.386e-06 4096 504 ALLOCATE
6 2.885e-06 4096 432 DEALLOCATE
5 2.365e-06 4096 360 DEALLOCATE
4 1.844e-06 4096 288 DEALLOCATE
3 3.025e-06 4096 216 DEALLOCATE
4 3.697e-06 4096 288 ALLOCATE
3 1.794e-06 4096 216 DEALLOCATE
4 5.12e-06 4096 288 ALLOCATE
5 2.946e-06 4096 360 ALLOCATE
6 4.157e-06 4096 432 ALLOCATE
5 1.253e-06 4096 360 DEALLOCATE
4 2.164e-06 4096 288 DEALLOCATE
5 4.989e-06 4096 360 ALLOCATE
6 4.648e-06 4096 432 ALLOCATE
5 1.262e-06 4096 360 DEALLOCATE
4 2.234e-06 4096 288 DEALLOCATE
3 1.813e-06 4096 216 DEALLOCATE
2 1.713e-06 4096 144 DEALLOCATE
