objectsCount time allocatedMemory usedMemory commandType
0 0 0 0 DEALLOCATE
0 0 0 0 DEALLOCATE
1 7.8546e-05 4096 72 ALLOCATE
0 2.692e-05 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 4.321e-05 4096 72 ALLOCATE
0 1.646e-05 4096 0 DEALLOCATE
1 4.1367e-05 4096 72 ALLOCATE
0 1.4738e-05 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 4.285e-05 4096 72 ALLOCATE
2 4.989e-06 4096 144 ALLOCATE
1 4.028e-06 4096 72 DEALLOCATE
2 5.791e-06 4096 144 ALLOCATE
1 8.095e-06 4096 72 DEALLOCATE
0 1.628e-05 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
0 0 4096 0 DEALLOCATE
1 7.6843e-05 4096 72 ALLOCATE
2 4.709e-06 4096 144 ALLOCATE
1 3.626e-06 4096 72 DEALLOCATE
2 4.528e-06 4096 144 ALLOCATE
3 2.155e-05 4096 216 ALLOCATE
2 7.193e-06 4096 144 DEALLOCATE
3 1.3115e-05 4096 216 ALLOCATE
4 4.508e-06 4096 288 ALLOCATE
5 2.1269e-05 4096 360 ALLOCATE
6 4.919e-06 4096 432 ALLOCATE
7 1.59e-05 4096 504 ALLOCATE
8 5.671e-06 4096 576 ALLOCATE
7 3.837e-06 4096 504 DEALLOCATE
8 4.408e-06 4096 576 ALLOCATE
9 2.7231e-05 4096 648 ALLOCATE
8 4.869e-06 4096 576 DEALLOCATE
7 6.061e-06 4096 504 DEALLOCATE
8 4.989e-06 4096 576 ALLOCATE
7 5.38e-06 4096 504 DEALLOCATE
8 5.901e-06 4096 576 ALLOCATE
9 1.4637e-05 4096 648 ALLOCATE
10 5.491e-06 4096 720 ALLOCATE
9 4.198e-06 4096 648 DEALLOCATE
10 4.899e-06 4096 720 ALLOCATE
11 1.3926e-05 4096 792 ALLOCATE
12 4.399e-06 4096 864 ALLOCATE
13 2.184e-05 4096 936 ALLOCATE
14 4.348e-06 4096 1008 ALLOCATE
13 4.689e-06 4096 936 DEALLOCATE
12 8.866e-06 4096 864 DEALLOCATE
13 1.4467e-05 4096 936 ALLOCATE
14 4.699e-06 4096 1008 ALLOCATE
13 3.777e-06 4096 936 DEALLOCATE
14 5.661e-06 4096 1008 ALLOCATE
15 1.4778e-05 4096 1080 ALLOCATE
16 5.19e-06 4096 1152 ALLOCATE
15 4.288e-06 4096 1080 DEALLOCATE
16 4.538e-06 4096 1152 ALLOCATE
17 4.7488e-05 4096 1224 ALLOCATE
16 3.697e-06 4096 1152 DEALLOCATE
15 6.081e-06 4096 1080 DEALLOCATE
14 4.068e-06 4096 1008 DEALLOCATE
13 8.356e-06 4096 936 DEALLOCATE
12 5.67e-06 4096 864 DEALLOCATE
11 4.448e-06 4096 792 DEALLOCATE
10 8.085e-06 4096 720 DEALLOCATE
9 8.747e-06 4096 648 DEALLOCATE
8 4.027e-06 4096 576 DEALLOCATE
7 1.4266e-05 4096 504 DEALLOCATE
6 4.709e-06 4096 432 DEALLOCATE
5 9.007e-06 4096 360 DEALLOCATE
4 1.5509e-05 4096 288 DEALLOCATE
5 2.0628e-05 4096 360 ALLOCATE
6 4.499e-06 4096 432 ALLOCATE
7 1.3866e-05 4096 504 ALLOCATE
6 4.268e-06 4096 432 DEALLOCATE
7 4.578e-06 4096 504 ALLOCATE
6 5.891e-06 4096 432 DEALLOCATE
7 1.3825e-05 4096 504 ALLOCATE
8 4.939e-06 4096 576 ALLOCATE
7 3.627e-06 4096 504 DEALLOCATE
8 4.418e-06 4096 576 ALLOCATE
7 3.907e-06 4096 504 DEALLOCATE
6 3.777e-06 4096 432 DEALLOCATE
5 6.121e-06 4096 360 DEALLOCATE
6 4.509e-06 4096 432 ALLOCATE
7 1.3475e-05 4096 504 ALLOCATE
8 4.518e-06 4096 576 ALLOCATE
7 3.557e-06 4096 504 DEALLOCATE
8 4.448e-06 4096 576 ALLOCATE
7 3.637e-06 4096 504 DEALLOCATE
6 4.017e-06 4096 432 DEALLOCATE
7 4.88e-06 4096 504 ALLOCATE
6 6.382e-06 4096 432 DEALLOCATE
5 9.447e-06 4096 360 DEALLOCATE
6 5.069e-06 4096 432 ALLOCATE
5 4.138e-06 4096 360 DEALLOCATE
4 1.4948e-05 4096 288 DEALLOCATE
5 2.1279e-05 4096 360 ALLOCATE
6 4.779e-06 4096 432 ALLOCATE
5 4.158e-06 4096 360 DEALLOCATE
6 4.939e-06 4096 432 ALLOCATE
7 1.4497e-05 4096 504 ALLOCATE
6 4.118e-06 4096 432 DEALLOCATE
5 6.242e-06 4096 360 DEALLOCATE
4 7.754e-06 4096 288 DEALLOCATE
5 1.9596e-05 4096 360 ALLOCATE
4 7.654e-06 4096 288 DEALLOCATE
5 1.9536e-05 4096 360 ALLOCATE
4 7.614e-06 4096 288 DEALLOCATE
5 2.3854e-05 4096 360 ALLOCATE
6 4.819e-06 4096 432 ALLOCATE
5 4.628e-06 4096 360 DEALLOCATE
6 7.254e-06 4096 432 ALLOCATE
7 2.0178e-05 4096 504 ALLOCATE
6 4.378e-06 4096 432 DEALLOCATE
5 6.642e-06 4096 360 DEALLOCATE
4 8.936e-06 4096 288 DEALLOCATE
3 4.629e-06 4096 216 DEALLOCATE
4 5.13e-06 4096 288 ALLOCATE
3 3.677e-06 4096 216 DEALLOCATE
4 4.549e-06 4096 288 ALLOCATE
5 2.0438e-05 4096 360 ALLOCATE
6 4.428e-06 4096 432 ALLOCATE
5 3.646e-06 4096 360 DEALLOCATE
4 7.574e-06 4096 288 DEALLOCATE
5 2.4145e-05 4096 360 ALLOCATE
6 5.37e-06 4096 432 ALLOCATE
5 4.068e-06 4096 360 DEALLOCATE
4 1.1351e-05 4096 288 DEALLOCATE
3 4.388e-06 4096 216 DEALLOCATE
